,track_id,track_title,artist_name,album_title,track_duration,track_genre,track_bit_rate,track_listens,track_comments,artist_location,album_date_released,album_type,album_tracks
28,152,Untitled 11,Animal Writes,Make Them Suffer,193,Rock,192000,98,0,"Portland, OR",2009-01-06,Album,2
29,153,Hundred-Year Flood,Arc and Sender,Arc and Sender,405,Rock,256000,424,0,"Philadelphia, PA",2005-06-07,Album,2
30,154,Squares And Circles,Arc and Sender,Arc and Sender,319,Rock,256000,205,0,"Philadelphia, PA",2005-06-07,Album,2
31,155,Maps of the Stars Homes,Arc and Sender,unreleased demo,756,Rock,192000,197,0,"Philadelphia, PA",2009-01-06,Single Tracks,1
32,156,Track 01,Area C,Thee Haunted Cobblestone Sunset Concert Series #7,122,Experimental,192000,362,0,"2 Westwood Avenue, Providence, RI 02905, USA",2004-01-01,Live Performance,13
33,157,Track 02,Area C,Thee Haunted Cobblestone Sunset Concert Series #7,212,Experimental,192000,190,0,"2 Westwood Avenue, Providence, RI 02905, USA",2004-01-01,Live Performance,13
34,158,Track 03,Area C,Thee Haunted Cobblestone Sunset Concert Series #7,473,Experimental,192000,163,0,"2 Westwood Avenue, Providence, RI 02905, USA",2004-01-01,Live Performance,13
35,159,Track 04,Area C,Thee Haunted Cobblestone Sunset Concert Series #7,221,Experimental,192000,130,0,"2 Westwood Avenue, Providence, RI 02905, USA",2004-01-01,Live Performance,13
36,160,Track 05,Area C,Thee Haunted Cobblestone Sunset Concert Series #7,70,Experimental,192000,110,0,"2 Westwood Avenue, Providence, RI 02905, USA",2004-01-01,Live Performance,13
37,161,Track 06,Area C,Thee Haunted Cobblestone Sunset Concert Series #7,147,Experimental,192000,121,0,"2 Westwood Avenue, Providence, RI 02905, USA",2004-01-01,Live Performance,13
38,162,Track 07,Area C,Thee Haunted Cobblestone Sunset Concert Series #7,270,Experimental,192000,109,0,"2 Westwood Avenue, Providence, RI 02905, USA",2004-01-01,Live Performance,13
39,163,Track 08,Area C,Thee Haunted Cobblestone Sunset Concert Series #7,307,Experimental,192000,94,0,"2 Westwood Avenue, Providence, RI 02905, USA",2004-01-01,Live Performance,13
40,164,Track 09,Area C,Thee Haunted Cobblestone Sunset Concert Series #7,236,Experimental,192000,70,0,"2 Westwood Avenue, Providence, RI 02905, USA",2004-01-01,Live Performance,13
41,165,Track 10,Area C,Thee Haunted Cobblestone Sunset Concert Series #7,185,Experimental,192000,140,0,"2 Westwood Avenue, Providence, RI 02905, USA",2004-01-01,Live Performance,13
42,166,Track 11,Area C,Thee Haunted Cobblestone Sunset Concert Series #7,392,Experimental,192000,180,0,"2 Westwood Avenue, Providence, RI 02905, USA",2004-01-01,Live Performance,13
43,167,Track 12,Area C,Thee Haunted Cobblestone Sunset Concert Series #7,278,Experimental,192000,80,0,"2 Westwood Avenue, Providence, RI 02905, USA",2004-01-01,Live Performance,13
44,168,Track 13,Area C,Thee Haunted Cobblestone Sunset Concert Series #7,60,Experimental,192000,100,0,"2 Westwood Avenue, Providence, RI 02905, USA",2004-01-01,Live Performance,13
45,169,Boss of Goth,Argumentix,Boss of Goth,144,Rock,192000,270,0,"Portland, OR",2008-06-23,Single Tracks,4
46,170,Industry Standard Massacre,Argumentix,Nightmarcher,181,Rock,192000,122,0,"Portland, OR",2007-01-01,Single Tracks,2
47,171,Marching as Technitions,Argumentix,Victim of Your Life,80,Rock,320000,242,0,"Portland, OR",2009-01-06,Single Tracks,2
48,172,I Can't Stand You Up-right,Argumentix,Heir to the Power Bear Fortune,206,Rock,192000,90,0,"Portland, OR",2009-01-06,Single Tracks,1
49,173,Save Life's Golden Receipt In Case Refund Needed,Argumentix,Boss of Goth,218,Rock,192000,177,0,"Portland, OR",2008-06-23,Single Tracks,4
50,174,Senator's Stance,Argumentix,Boss of Goth,199,Rock,192000,116,0,"Portland, OR",2008-06-23,Single Tracks,4
51,175,Snapped Today,Argumentix,Nightmarcher,111,Rock,192000,72,0,"Portland, OR",2007-01-01,Single Tracks,2
52,176,Step Up to Legends,Argumentix,Victim of Your Life,160,Rock,320000,104,0,"Portland, OR",2009-01-06,Single Tracks,2
53,177,Petty Hate Machine,Argumentix,Boss of Goth,129,Rock,192000,160,0,"Portland, OR",2008-06-23,Single Tracks,4
54,178,Lend Me a Blanket,Argumentix,"Tarantula Downpour 7""",259,Rock,192000,149,0,"Portland, OR",2009-01-06,Single Tracks,1
55,179,Ready to Die,Argumentix,Dracula Safari,90,Rock,320000,226,0,"Portland, OR",2009-01-06,Single Tracks,1
61,188,Piano 1,Ed Askew,Blue Piano,44,Folk,256000,1253,0,"New York, NY",2009-01-07,Album,15
62,189,The Thought Of It,Ed Askew,What I Know,283,Folk,256000,101,0,"New York, NY",2009-01-07,Album,10
63,190,Castle Of Stars,Ed Askew,Blue Piano,249,Folk,256000,945,0,"New York, NY",2009-01-07,Album,15
64,191,Song About Michael,Ed Askew,What I Know,224,Folk,256000,64,0,"New York, NY",2009-01-07,Album,10
65,192,Ed Talk WNYC,Ed Askew,What I Know,40,Folk,256000,125,0,"New York, NY",2009-01-07,Album,10
66,193,Here With You,Ed Askew,Blue Piano,254,Folk,256000,824,0,"New York, NY",2009-01-07,Album,15
67,194,All I want to Do,Ed Askew,Blue Piano,192,Folk,256000,754,0,"New York, NY",2009-01-07,Album,15
68,195,I Remember You,Ed Askew,What I Know,339,Folk,256000,138,0,"New York, NY",2009-01-07,Album,10
69,196,Bright Mr Brother,Ed Askew,What I Know,170,Folk,256000,75,0,"New York, NY",2009-01-07,Album,10
70,197,Piano 2,Ed Askew,Blue Piano,68,Folk,256000,833,0,"New York, NY",2009-01-07,Album,15
71,198,It Breaks My Heart,Ed Askew,Blue Piano,269,Folk,256000,451,0,"New York, NY",2009-01-07,Album,15
72,199,Rimbaud,Ed Askew,What I Know,263,Folk,256000,38,0,"New York, NY",2009-01-07,Album,10
73,200,Baby Come Home,Ed Askew,Blue Piano,194,Folk,256000,772,0,"New York, NY",2009-01-07,Album,15
74,201,Big City,Ed Askew,What I Know,210,Folk,256000,150,0,"New York, NY",2009-01-07,Album,10
75,202,Palomino,Ed Askew,What I Know,258,Folk,256000,46,0,"New York, NY",2009-01-07,Album,10
76,203,Song For R,Ed Askew,Blue Piano,195,Folk,256000,603,0,"New York, NY",2009-01-07,Album,15
77,204,My Dream,Ed Askew,Blue Piano,324,Folk,256000,688,0,"New York, NY",2009-01-07,Album,15
78,205,What Crow Saw,Ed Askew,What I Know,244,Folk,256000,69,0,"New York, NY",2009-01-07,Album,10
79,206,Bella Crane,Ed Askew,What I Know,141,Folk,256000,87,0,"New York, NY",2009-01-07,Album,10
80,207,Piano 3,Ed Askew,Blue Piano,96,Folk,256000,609,0,"New York, NY",2009-01-07,Album,15
81,208,Safe Harbor,Ed Askew,Blue Piano,273,Folk,256000,397,0,"New York, NY",2009-01-07,Album,15
82,209,Safe Harbor,Ed Askew,Blue Piano,328,Folk,256000,351,0,"New York, NY",2009-01-07,Album,15
83,210,In the French Court,Ed Askew,Blue Piano,184,Folk,256000,1824,0,"New York, NY",2009-01-07,Album,15
84,211,In America,Ed Askew,Blue Piano,247,Folk,256000,1714,0,"New York, NY",2009-01-07,Album,15
85,212,When I Arive,Ed Askew,Blue Piano,230,Folk,256000,551,0,"New York, NY",2009-01-07,Album,15
86,213,Boute,Au,Au,247,Pop,256000,1148,0,"Portland, OR",2007-07-05,Single Tracks,1
87,226,W.T.M.,Bad News Bats,Bad News Bats,231,Rock,197144,1351,0,"Philadelphia, PA",2006-01-01,Album,0
88,228,Don't Run With Pizzas,Bad News Bats,Bad News Bats,218,Rock,190365,1366,0,"Philadelphia, PA",2006-01-01,Album,0
90,237,Garbage and (Garbage and Fire),Barnacled,6,450,Jazz,256000,1276,0,"Providence, RI",2003-01-11,Album,2
91,238,France Attacks,Barnacled,6,821,Jazz,256000,1277,0,"Providence, RI",2003-01-11,Album,2
102,256,Toggle,Black Elk,Black Elk,202,Rock,256000,2311,0,"Portland, OR",2009-01-08,Single Tracks,3
103,257,My Lil',Black Elk,Black Elk,146,Rock,320000,766,0,"Portland, OR",2009-01-08,Single Tracks,3
104,258,Eyebone,Black Elk,Black Elk,384,Rock,320000,1350,0,"Portland, OR",2009-01-08,Single Tracks,3
105,273,Dildoughnuts,Black Pus,I,111,Experimental,128000,193,0,"Providence, RI",2005-01-01,Album,0
106,274,Land of the Lost,Black Pus,4: All Aboard the Magic Pus,192,Experimental,256000,593,0,"Providence, RI",2008-03-01,Album,0
107,275,Swampus,Black Pus,III: Metamorpus,167,Experimental,128000,247,0,"Providence, RI",2006-06-01,Album,0
108,276,The Devilhellipers,Black Pus,II,186,Experimental,128000,129,0,"Providence, RI",2006-01-01,Album,0
109,277,Kind Companion,Black Pus,III: Metamorpus,282,Experimental,128000,233,0,"Providence, RI",2006-06-01,Album,0
110,281,Juggernaut,Black Pus,4: All Aboard the Magic Pus,346,Experimental,256000,2114,0,"Providence, RI",2008-03-01,Album,0
111,282,New Atlantis A,Black Pus,II,323,Experimental,128000,126,0,"Providence, RI",2006-01-01,Album,0
112,284,Translucent Human,Black Pus,I,141,Experimental,128000,136,0,"Providence, RI",2005-01-01,Album,0
113,285,Earth aint Enuff,Black Pus,III: Metamorpus,234,Experimental,128000,324,0,"Providence, RI",2006-06-01,Album,0
114,293,Berserk is the Best,Black Pus,I,311,Experimental,128000,167,0,"Providence, RI",2005-01-01,Album,0
115,294,Magic Bullet,Black Pus,II,218,Experimental,128000,169,0,"Providence, RI",2006-01-01,Album,0
116,297,Body on the Tide,Black Pus,4: All Aboard the Magic Pus,373,Experimental,256000,330,0,"Providence, RI",2008-03-01,Album,0
117,300,The Foot Is Stronger Than The Arm,Black Pus,I,192,Experimental,128000,276,0,"Providence, RI",2005-01-01,Album,0
118,303,Splish spladdy,Blah Blah Blah,Green Collection,136,Rock,256000,89,0,Colchester UK,2007-09-01,Album,0
119,304,Woo You,Blah Blah Blah,Stripey Collection,191,Rock,256000,167,0,Colchester UK,1982-04-06,Album,0
120,305,Disney on Ice,Blah Blah Blah,Gold Collection,159,Rock,256000,2605,0,Colchester UK,1981-01-01,Album,0
121,306,The Prime Four,Blah Blah Blah,Green Collection,129,Rock,256000,50,0,Colchester UK,2007-09-01,Album,0
122,307,Out on the farm,Blah Blah Blah,Green Collection,205,Rock,256000,190,0,Colchester UK,2007-09-01,Album,0
123,308,The Hotel,Blah Blah Blah,Stripey Collection,186,Rock,256000,260,0,Colchester UK,1982-04-06,Album,0
124,309,Where are all the people,Blah Blah Blah,Green Collection,229,Rock,256000,56,0,Colchester UK,2007-09-01,Album,0
125,310,Going Down to Soho,Blah Blah Blah,Gold Collection,146,Rock,256000,109,0,Colchester UK,1981-01-01,Album,0
126,311,Tropical Holiday Time,Blah Blah Blah,Stripey Collection,205,Rock,256000,1484,0,Colchester UK,1982-04-06,Album,0
127,312,Tropical Sheep,Blah Blah Blah,Green Collection,199,Rock,256000,748,0,Colchester UK,2007-09-01,Album,0
128,313,Think Things Of You,Blah Blah Blah,Stripey Collection,142,Rock,256000,70,0,Colchester UK,1982-04-06,Album,0
129,314,Daisey Chains,Blah Blah Blah,Green Collection,166,Rock,256000,69,0,Colchester UK,2007-09-01,Album,0
130,315,Interference,Blah Blah Blah,Gold Collection,280,Rock,256000,297,0,Colchester UK,1981-01-01,Album,0
131,316,Itching in my pants,Blah Blah Blah,Gold Collection,87,Rock,256000,90,0,Colchester UK,1981-01-01,Album,0
132,317,Very Nice,Blah Blah Blah,Stripey Collection,198,Rock,256000,241,0,Colchester UK,1982-04-06,Album,0
133,318,1-2-3-4,Blah Blah Blah,30th Anniversary Blah Blah Blah,41,Rock,256000,153,0,Colchester UK,2009-01-01,Album,21
134,319,Complete Shakespeare,Blah Blah Blah,Green Collection,156,Rock,256000,325,0,Colchester UK,2007-09-01,Album,0
135,320,The Natives are Restless,Blah Blah Blah,Gold Collection,316,Rock,256000,309,0,Colchester UK,1981-01-01,Album,0
136,321,Heart Attack,Blah Blah Blah,Stripey Collection,273,Rock,256000,487,0,Colchester UK,1982-04-06,Album,0
137,322,Shopping Bag,Blah Blah Blah,Green Collection,110,Rock,256000,304,0,Colchester UK,2007-09-01,Album,0
138,323,Crocodile Song,Blah Blah Blah,Green Collection,237,Rock,256000,94,0,Colchester UK,2007-09-01,Album,0
139,324,I just don't know,Blah Blah Blah,Stripey Collection,120,Rock,256000,106,0,Colchester UK,1982-04-06,Album,0
140,325,Liquidizing Chickens,Blah Blah Blah,Gold Collection,199,Rock,256000,217,0,Colchester UK,1981-01-01,Album,0
141,326,Burn,Blah Blah Blah,Stripey Collection,105,Rock,256000,228,0,Colchester UK,1982-04-06,Album,0
142,327,Hands Beckoning,Blah Blah Blah,Stripey Collection,259,Rock,256000,164,0,Colchester UK,1982-04-06,Album,0
143,328,Central Park,Blah Blah Blah,Stripey Collection,236,Rock,256000,254,0,Colchester UK,1982-04-06,Album,0
144,330,White Man,Blah Blah Blah,Green Collection,270,Rock,256000,58,0,Colchester UK,2007-09-01,Album,0
145,331,Weatherman,Blah Blah Blah,Green Collection,214,Rock,256000,105,0,Colchester UK,2007-09-01,Album,0
146,332,39th floor Club,Blah Blah Blah,30th Anniversary Blah Blah Blah,174,Rock,256000,76,0,Colchester UK,2009-01-01,Album,21
147,333,Blah intro,Blah Blah Blah,30th Anniversary Blah Blah Blah,96,Rock,256000,322,0,Colchester UK,2009-01-01,Album,21
148,334,Blahpunk,Blah Blah Blah,30th Anniversary Blah Blah Blah,275,Rock,256000,388,0,Colchester UK,2009-01-01,Album,21
149,335,Bored,Blah Blah Blah,30th Anniversary Blah Blah Blah,188,Rock,256000,225,0,Colchester UK,2009-01-01,Album,21
150,336,Breeder,Blah Blah Blah,30th Anniversary Blah Blah Blah,204,Rock,256000,144,0,Colchester UK,2009-01-01,Album,21
151,337,Brian's Garage,Blah Blah Blah,30th Anniversary Blah Blah Blah,271,Rock,256000,195,0,Colchester UK,2009-01-01,Album,21
152,338,Cabages in the sunset,Blah Blah Blah,30th Anniversary Blah Blah Blah,88,Rock,256000,160,0,Colchester UK,2009-01-01,Album,21
153,339,Chimpanzees disease,Blah Blah Blah,30th Anniversary Blah Blah Blah,110,Rock,256000,118,0,Colchester UK,2009-01-01,Album,21
154,340,Circles in London,Blah Blah Blah,30th Anniversary Blah Blah Blah,142,Rock,256000,281,0,Colchester UK,2009-01-01,Album,21
155,341,Count Dracula's castle,Blah Blah Blah,30th Anniversary Blah Blah Blah,84,Rock,256000,1629,0,Colchester UK,2009-01-01,Album,21
156,342,Crash,Blah Blah Blah,30th Anniversary Blah Blah Blah,55,Rock,256000,165,0,Colchester UK,2009-01-01,Album,21
157,343,Cybernetics,Blah Blah Blah,30th Anniversary Blah Blah Blah,66,Rock,256000,192,0,Colchester UK,2009-01-01,Album,21
158,344,Denver,Blah Blah Blah,30th Anniversary Blah Blah Blah,115,Rock,256000,111,0,Colchester UK,2009-01-01,Album,21
159,345,Ding dang (skat),Blah Blah Blah,30th Anniversary Blah Blah Blah,202,Rock,256000,251,0,Colchester UK,2009-01-01,Album,21
160,346,Disco Ghoul,Blah Blah Blah,30th Anniversary Blah Blah Blah,158,Rock,256000,181,0,Colchester UK,2009-01-01,Album,21
161,347,Down in the pits again,Blah Blah Blah,30th Anniversary Blah Blah Blah,150,Rock,256000,71,0,Colchester UK,2009-01-01,Album,21
162,348,Excretia,Blah Blah Blah,30th Anniversary Blah Blah Blah,165,Rock,256000,97,0,Colchester UK,2009-01-01,Album,21
163,349,Garden of Eden,Blah Blah Blah,30th Anniversary Blah Blah Blah,74,Rock,256000,125,0,Colchester UK,2009-01-01,Album,21
164,350,Gotta Go,Blah Blah Blah,30th Anniversary Blah Blah Blah,101,Rock,256000,90,0,Colchester UK,2009-01-01,Album,21
165,351,Hippopotamus,Blah Blah Blah,30th Anniversary Blah Blah Blah,249,Rock,256000,150,0,Colchester UK,2009-01-01,Album,21
166,352,In Arabia,Blah Blah Blah,30th Anniversary Blah Blah Blah,165,Rock,256000,505,0,Colchester UK,2009-01-01,Album,21
167,353,In my Grandfather's Clock,Blah Blah Blah,30th Anniversary Blah Blah Blah,149,Rock,256000,139,0,Colchester UK,2009-01-01,Album,21
168,354,Julie Andrews,Blah Blah Blah,30th Anniversary Blah Blah Blah,60,Rock,256000,108,0,Colchester UK,2009-01-01,Album,21
169,355,Just you wait and see,Blah Blah Blah,30th Anniversary Blah Blah Blah,144,Rock,256000,65,0,Colchester UK,2009-01-01,Album,21
170,356,Little White Boxes,Blah Blah Blah,30th Anniversary Blah Blah Blah,225,Rock,256000,144,0,Colchester UK,2009-01-01,Album,21
171,357,Mr Mystery,Blah Blah Blah,30th Anniversary Blah Blah Blah,139,Rock,256000,165,0,Colchester UK,2009-01-01,Album,21
172,358,My House,Blah Blah Blah,30th Anniversary Blah Blah Blah,121,Rock,256000,182,0,Colchester UK,2009-01-01,Album,21
173,359,My Room,Blah Blah Blah,30th Anniversary Blah Blah Blah,178,Rock,256000,62,0,Colchester UK,2009-01-01,Album,21
174,360,Radio Jazz with Mr Rhodes,Blah Blah Blah,30th Anniversary Blah Blah Blah,126,Rock,256000,255,0,Colchester UK,2009-01-01,Album,21
175,361,Red coated young girlfriend,Blah Blah Blah,30th Anniversary Blah Blah Blah,218,Rock,256000,65,0,Colchester UK,2009-01-01,Album,21
176,362,Starsigns,Blah Blah Blah,30th Anniversary Blah Blah Blah,122,Rock,256000,59,0,Colchester UK,2009-01-01,Album,21
177,363,Sugar Bowl,Blah Blah Blah,30th Anniversary Blah Blah Blah,165,Rock,256000,98,0,Colchester UK,2009-01-01,Album,21
178,364,Sunspot activity,Blah Blah Blah,30th Anniversary Blah Blah Blah,152,Rock,256000,47,0,Colchester UK,2009-01-01,Album,21
179,365,The Sound of Music,Blah Blah Blah,30th Anniversary Blah Blah Blah,104,Rock,256000,326,0,Colchester UK,2009-01-01,Album,21
180,366,The Swamp,Blah Blah Blah,30th Anniversary Blah Blah Blah,144,Rock,256000,67,0,Colchester UK,2009-01-01,Album,21
181,367,There goes my greenhouse,Blah Blah Blah,30th Anniversary Blah Blah Blah,110,Rock,256000,55,0,Colchester UK,2009-01-01,Album,21
182,368,Vampires,Blah Blah Blah,30th Anniversary Blah Blah Blah,280,Rock,256000,2281,0,Colchester UK,2009-01-01,Album,21
183,369,Whistle while you work,Blah Blah Blah,30th Anniversary Blah Blah Blah,185,Rock,256000,1551,0,Colchester UK,2009-01-01,Album,21
184,370,Why didn't Nero?,Blah Blah Blah,30th Anniversary Blah Blah Blah,213,Rock,256000,71,0,Colchester UK,2009-01-01,Album,21
185,371,vermalderhide,Blah Blah Blah,30th Anniversary Blah Blah Blah,251,Rock,256000,47,0,Colchester UK,2009-01-01,Album,21
190,393,"Untitled Boogie (edit), Transfiguration Boogie, Boogie Hole",Boogie Witch,Boogie Witch,810,Rock,256000,424,0,"Philadelphia, PA",2009-01-07,Live Performance,3
191,394,Boogie Hole,Boogie Witch,Boogie Witch,243,Rock,256000,280,0,"Philadelphia, PA",2009-01-07,Live Performance,3
192,395,Transfiguration Boogie,Boogie Witch,Boogie Witch,380,Rock,256000,244,0,"Philadelphia, PA",2009-01-07,Live Performance,3
193,396,Juggernaut Soliloquy,Borful Tang,On the Back of a Dying Beast: Volume 1,1137,Electronic,256000,188,0,"San Francisco, CA",2007-01-01,Live Performance,7
194,397,The Tides Of Land,Borful Tang,On the Back of a Dying Beast: Volume 1,240,Electronic,256000,427,0,"San Francisco, CA",2007-01-01,Live Performance,7
195,398,Borful Tang Loves Nomeansno,Borful Tang,Root,344,Electronic,256000,587,0,"San Francisco, CA",2005-07-05,Album,9
196,399,ELI,Borful Tang,Root,388,Electronic,256000,520,0,"San Francisco, CA",2005-07-05,Album,9
197,400,Electronic Interlude VI,Borful Tang,On the Back of a Dying Beast: Volume 1,395,Electronic,256000,587,0,"San Francisco, CA",2007-01-01,Live Performance,7
198,401,Modesto,Borful Tang,On the Back of a Dying Beast: Volume 1,1076,Electronic,256000,157,0,"San Francisco, CA",2007-01-01,Live Performance,7
199,402,Oh Kap Soon,Borful Tang,On the Back of a Dying Beast: Volume 1,541,Electronic,256000,55,0,"San Francisco, CA",2007-01-01,Live Performance,7
200,403,Roach,Borful Tang,split with Sunshine Militant Children's Hour,198,Electronic,256000,558,0,"San Francisco, CA",2006-01-01,Album,2
201,404,Wonder Inn,Borful Tang,On the Back of a Dying Beast: Volume 1,704,Electronic,256000,392,0,"San Francisco, CA",2007-01-01,Live Performance,7
202,405,Majestic Shuffle,Borful Tang,Root,439,Electronic,256000,378,0,"San Francisco, CA",2005-07-05,Album,9
203,406,ELI,Borful Tang,On the Back of a Dying Beast: Volume 1,756,Electronic,256000,148,0,"San Francisco, CA",2007-01-01,Live Performance,7
204,407,Soundclash At Wonder Inn (ft. Qulfus),Borful Tang,Root,354,Electronic,256000,177,0,"San Francisco, CA",2005-07-05,Album,9
205,408,The Tides Of Land,Borful Tang,split with Sunshine Militant Children's Hour,247,Electronic,256000,254,0,"San Francisco, CA",2006-01-01,Album,2
206,410,Lost on the Eastern Side of the Island,Borful Tang,Root,379,Electronic,256000,213,0,"San Francisco, CA",2005-07-05,Album,9
207,411,Orp,Borful Tang,Root,146,Electronic,256000,185,0,"San Francisco, CA",2005-07-05,Album,9
208,412,John And Mary - The Meeting,Borful Tang,Root,253,Electronic,256000,140,0,"San Francisco, CA",2005-07-05,Album,9
209,414,John And Mary - The Restaurant,Borful Tang,Root,230,Electronic,256000,3737,0,"San Francisco, CA",2005-07-05,Album,9
210,416,Smyrna Snow Walk,Borful Tang,Root,745,Electronic,256000,243,0,"San Francisco, CA",2005-07-05,Album,9
247,458,Hunt Like Devil 4,CAVE,Hunt Like Devil EP,223,Rock,256000,1241,0,"Chicago, IL",2009-01-07,Album,1
248,459,Machines and Muscles,CAVE,Butthash,301,Rock,128000,7765,0,"Chicago, IL",2009-01-07,Album,1
254,466,Asterism,Celesteville,Lingua Ignota,281,Rock,160000,85,0,"Portland, OR",2009-01-07,Album,12
255,467,Let's Climb a Mossy Hill,Celesteville,Birdlike Movements,157,Rock,160000,207,0,"Portland, OR",2009-01-07,Album,9
256,468,Vast and Sad (KPSU),Celesteville,Vast and Sad,296,Rock,160000,176,0,"Portland, OR",2002-01-01,Album,7
257,469,Waverly,Celesteville,Kohoutek,221,Rock,128000,28,0,"Portland, OR",2009-01-07,Album,12
258,470,Cloud Light,Celesteville,Birdlike Movements,172,Rock,160000,82,0,"Portland, OR",2009-01-07,Album,9
259,471,Ephrata Cloister,Celesteville,Lingua Ignota,199,Rock,160000,49,0,"Portland, OR",2009-01-07,Album,12
261,473,Victoria 1,Celesteville,Kohoutek,176,Rock,128000,39,0,"Portland, OR",2009-01-07,Album,12
262,474,Your Leather Jacket (Kelly Haus),Celesteville,Vast and Sad,187,Rock,160000,139,0,"Portland, OR",2002-01-01,Album,7
263,475,Buddy Alan In Reno,Celesteville,Lingua Ignota,128,Rock,160000,62,0,"Portland, OR",2009-01-07,Album,12
265,477,Let's Climb a Mossy Hill (Kelly Haus),Celesteville,Vast and Sad,177,Rock,160000,118,0,"Portland, OR",2002-01-01,Album,7
266,478,Recessional,Celesteville,Birdlike Movements,104,Rock,160000,60,0,"Portland, OR",2009-01-07,Album,9
267,479,White Shoulders,Celesteville,Kohoutek,261,Rock,128000,27,0,"Portland, OR",2009-01-07,Album,12
268,480,Appear to Be (Kelly Haus),Celesteville,Vast and Sad,58,Rock,160000,149,0,"Portland, OR",2002-01-01,Album,7
269,481,Council Bluffs,Celesteville,Kohoutek,126,Rock,128000,22,0,"Portland, OR",2009-01-07,Album,12
271,483,Magnolias Milan,Celesteville,Birdlike Movements,115,Rock,160000,83,0,"Portland, OR",2009-01-07,Album,9
272,484,One Rose Among Many,Celesteville,Lingua Ignota,138,Rock,160000,36,0,"Portland, OR",2009-01-07,Album,12
273,485,Asterism (Kelly Haus),Celesteville,Vast and Sad,213,Rock,160000,116,0,"Portland, OR",2002-01-01,Album,7
274,486,Avoid,Celesteville,Kohoutek,170,Rock,128000,29,0,"Portland, OR",2009-01-07,Album,12
275,487,For Christie 7/4,Celesteville,Lingua Ignota,118,Rock,160000,38,0,"Portland, OR",2009-01-07,Album,12
277,490,Vast and Sad,Celesteville,Birdlike Movements,210,Rock,160000,218,0,"Portland, OR",2009-01-07,Album,9
278,491,For To Pour,Celesteville,Kohoutek,349,Rock,128000,17,0,"Portland, OR",2009-01-07,Album,12
279,492,I Can't Hear the Birds Sing,Celesteville,Birdlike Movements,161,Rock,160000,95,0,"Portland, OR",2009-01-07,Album,9
280,493,In the Sky,Celesteville,Lingua Ignota,243,Rock,160000,85,0,"Portland, OR",2009-01-07,Album,12
281,495,"Waterfall (Emerald City Coffee, Seattle)",Celesteville,Vast and Sad,899,Rock,160000,922,0,"Portland, OR",2002-01-01,Album,7
283,497,Appear To Be,Celesteville,Kohoutek,59,Rock,128000,27,0,"Portland, OR",2009-01-07,Album,12
284,498,Birdlike Movements,Celesteville,Birdlike Movements,75,Rock,160000,57,0,"Portland, OR",2009-01-07,Album,9
286,501,Utmost House,Celesteville,Lingua Ignota,326,Rock,160000,39,0,"Portland, OR",2009-01-07,Album,12
